added China\Hubei-Wujiagang at 30.67201,111.32995 for isolate 4030
added China\Hubei-Xiangcheng at 32.02387,112.13162 for isolate 4031
added China\Hubei-Yidu at 30.3925,111.45 for isolate 4036
added China\Hubei at 31.0,112.0 for isolate 4037
added China\Hufang at 27.33139,117.03944 for isolate 4041
added China\Hui at 22.456,113.0482 for isolate 4051
added China\Hunan Changsha at 28.2,112.96667 for isolate 4052
added China\Hunan Furong at 28.17862,113.02835 for isolate 4053
added China\Hunan Kaifu at 28.24022,112.98273 for isolate 4054
added China\Hunan-Beihu at 25.74037,112.96881 for isolate 4055
added China\Hunan-Chaling at 26.77556,113.69077 for isolate 4061
added China\Hunan-Furong at 28.17862,113.02835 for isolate 4062
added China\Hunan-Kaifu at 28.24022,112.98273 for isolate 4066
added China\Hunan-Leiyang at 26.40238,112.85908 for isolate 4067
added China\Hunan-Lianyuan at 27.68833,111.66417 for isolate 4068
added China\Hunan-Louxing at 27.72272,111.99774 for isolate 4070
added China\Hunan-Qiyang at 26.37609,111.9458 for isolate 4071
added China\Hunan-Suxian at 25.78289,113.06901 for isolate 4072
added China\Hunan-Wuling at 29.03222,111.67806 for isolate 4075
added China\Hunan-Yuelu at 28.18333,112.93333 for isolate 4076
added China\Hunan-Yueyanglou at 29.30677,113.11681 for isolate 4079
added China\Hunan-Yuhua at 28.13135,113.0412 for isolate 4080
added Denmark\Hvidovre at 55.65719,12.47364 for isolate 4093
added India\Hyd at 17.45312,78.46759 for isolate 4098
added Japan\Hyogo at 35.04032,134.82597 for isolate 4099
added Japan\Ibaraki at 34.81641,135.56828 for isolate 4108
added South Korea\Incheon at 37.45361,126.73167 for isolate 4188
added China\Inner Mongolia at 44.0,112.0 for isolate 4337
added Russia\Irkutsk at 52.29778,104.29639 for isolate 4386
added Japan\Ishikawa at 36.77145,136.7705 for isolate 4387
added Kenya\Isiolo at 1.0,38.75 for isolate 4388
added Turkey\Istanbul-TR at 41.01384,28.94966 for isolate 4398
added Turkey\Istanbul at 41.01384,28.94966 for isolate 4402
added Russia\Ivanovo at 56.99417,40.98583 for isolate 4538
added Japan\Iwate at 39.59601,141.35971 for isolate 4544
added Turkey\Izmir-TR at 38.41273,27.13838 for isolate 4549
added India\Jalna at 19.83333,75.88333 for isolate 4551
added South Korea\Jeju at 33.50972,126.52194 for isolate 4685
added South Korea\Jeonbuk at 37.43333,127.50694 for isolate 4691
added China\Jiangsu-Beitang at 31.61369,120.32573 for isolate 4696
added China\Jiangsu-Chuzhou at 33.51021,119.13463 for isolate 4700
added China\Jiangsu-Danyang at 32.0,119.57028 for isolate 4701
added China\Jiangsu-Dongtai at 32.85231,120.30947 for isolate 4703
added China\Jiangsu-Guangling at 32.10441,120.23627 for isolate 4706
added China\Jiangsu-Gulou at 32.08333,118.75 for isolate 4707
added China\Jiangsu-Qinhuai at 32.0775,118.72472 for isolate 4709
added China\Jiangsu-Taicang at 31.60424,121.21338 for isolate 4710
added China\Jiangsu-Xiaguan at 32.08333,118.71667 for isolate 4711
added China\Jiangsu-Xinghua at 32.93917,119.83417 for isolate 4713
added China\Jiangsu at 32.06167,118.77778 for isolate 4714
added China\Jiangxi-Donghu at 28.7,115.85 for isolate 4724
added China\Jiangxi-Guixi at 28.28333,117.18333 for isolate 4730
added China\Jiangxi-Yuanzhou at 27.88467,114.2939 for isolate 4732
added China\Jiangxi-Zhanggong at 25.84784,114.90216 for isolate 4737
added China\Jiangxi at 28.0,116.0 for isolate 4738
added China\Jiangyin at 31.92825,120.31257 for isolate 4759
added China\Jilin-Changyi at 43.85,126.57278 for isolate 4770
added China\Jilin-Chaoyang at 42.424,127.21311 for isolate 4771
added China\Jilin-Chuanying at 43.82222,126.56444 for isolate 4774
added China\Jilin-Nanguan at 43.80833,125.34056 for isolate 4781
added China\Jilin-Zhenlai at 45.84955,123.2973 for isolate 4783
added China\Jinfang at 25.02472,116.75028 for isolate 4785
added China\Jingke at 27.36244,117.79487 for isolate 4802
added China\Jingsheng at 36.9,111.86667 for isolate 4804
added China\Jingxi at 26.19454,117.54526 for isolate 4805
added China\Jinhua at 29.10778,119.65472 for isolate 4807
added China\Jinshui at 33.26889,107.85833 for isolate 4808
added South Africa\Johannesburg at -26.20227,28.04363 for isolate 4810
added India\KOL at 34.52222,74.25861 for isolate 4830
added Japan\Kagawa at 34.24717,133.99471 for isolate 4851
added Japan\Kagoshima at 31.56018,130.55814 for isolate 4854
added Kenya\Kakamega at 0.28333,34.75 for isolate 4856
added Russia\Kaliningrad at 54.71,20.5 for isolate 4859
added Russia\Kaluga at 54.5293,36.27542 for isolate 4866
added Japan\Kamata at 35.56667,139.71667 for isolate 4868
added Japan\Kanagawa at 35.41746,139.33885 for isolate 4872
added Kenya\Kapenguria at 1.23333,35.11667 for isolate 4900
added Russia\Karasuk at 53.7336,78.043 for isolate 4901
added Kenya\Karatina at -0.36667,37.46667 for isolate 4902
added Greece\Kastoria at 40.51667,21.26667 for isolate 4903
added Greece\Katerini at 40.27194,22.5025 for isolate 4906
added Greece\Kavala at 40.93972,24.40194 for isolate 4908
